,0
0,SAMD11
1,HES4
2,TNFRSF18
3,TNFRSF4
4,DVL1
5,AL645728.1
6,AL691432.2
7,MMP23B
8,MORN1
9,PANK4
10,AL139246.5
11,MMEL1
12,SMIM1
13,NPHP4
14,ESPN
15,TNFRSF25
16,UTS2
17,NMNAT1
18,RBP7
19,FBXO6
20,DRAXIN
21,TNFRSF8
22,TNFRSF1B
23,DHRS3
24,TMEM51
25,EPHA2
26,PADI2
27,ARHGEF10L
28,UBXN10
29,CDA
30,KIF17
31,ECE1
32,RAP1GAP
33,C1QA
34,TCEA3
35,E2F2
36,ID3
37,GALE
38,CNR2
39,IFNLR1
40,RHD
41,RHCE
42,AUNIP
43,PAFAH2
44,CNKSR1
45,ZNF683
46,MAP3K6
47,FGR
48,SMPDL3B
49,PTAFR
50,MED18
51,SERINC2
52,LCK
53,FAM229A
54,DLGAP3
55,ZMYM4-AS1
56,MANEAL
57,BMP8B
58,OXCT2
59,MYCL
60,COL9A2
61,RIMS3
62,NFYC-AS1
63,FOXO6
64,ERMAP
65,ARTN
66,CCDC24
67,SLC6A9
68,TMEM53
69,KIF2C
70,TESK2
71,IPP
72,MOB3C
73,PDZK1IP1
74,CC2D1B
75,SHISAL2A
76,COA7
77,ECHDC2
78,LINC02812
79,FGGY
80,PATJ
81,ROR1
82,DNAJC6
83,LEPR
84,AL513493.1
85,SLC35D1
86,DEPDC1
87,AK5
88,NEXN
89,DNAJB4
90,AC103591.3
91,IFI44L
92,MCOLN2
93,TGFBR3
94,EVI5
95,DIPK1A
96,ALG14
97,TLCD4
98,S1PR1
99,PSRC1
100,SORT1
101,ATXN7L2
102,CSF1
103,CHI3L2
104,CTTNBP2NL
105,PPM1J
106,CD2
107,CD101
108,WARS2-AS1
109,FCGR1B
110,FAM72B
111,SRGAP2C
112,SRGAP2B
113,GPR89A
114,CD160
115,AC245407.2
116,LINC01731
117,FCGR1A
118,HIST2H2AA4
119,HIST2H2AB
120,MTMR11
121,OTUD7B
122,C1orf54
123,ECM1
124,HORMAD1
125,MINDY1
