"","normalized_mcc","f1","thresholds","Factor"
"1",NA,NA,Inf,"HES4"
"2",0.498296810690935,0.00862812769628991,1,"HES4"
"3",NA,0.0239271143286604,0,"HES4"
"4",NA,NA,Inf,"TNFRSF18"
"5",0.540695896275424,0.0883645616470044,1,"TNFRSF18"
"6",NA,0.0239271143286604,0,"TNFRSF18"
"7",NA,NA,Inf,"TNFRSF4"
"8",0.504072721834382,0.0257147690746067,1,"TNFRSF4"
"9",NA,0.0239271143286604,0,"TNFRSF4"
"10",NA,NA,Inf,"MMP23B"
"11",0.546826194148871,0.105006954102921,1,"MMP23B"
"12",NA,0.0239271143286604,0,"MMP23B"
"13",NA,NA,Inf,"AL139246.5"
"14",0.509498159006175,0.0340928270042194,1,"AL139246.5"
"15",NA,0.0239271143286604,0,"AL139246.5"
"16",NA,NA,Inf,"ESPN"
"17",0.495628657425334,0.00103950103950104,1,"ESPN"
"18",NA,0.0239271143286604,0,"ESPN"
"19",NA,NA,Inf,"RBP7"
"20",0.490808463247657,0.00098159509202454,1,"RBP7"
"21",NA,0.0239271143286604,0,"RBP7"
"22",NA,NA,Inf,"TNFRSF8"
"23",0.496871183584545,0.00227143668370244,1,"TNFRSF8"
"24",NA,0.0239271143286604,0,"TNFRSF8"
"25",NA,NA,Inf,"DHRS3"
"26",0.516555084640346,0.0445066915655151,1,"DHRS3"
"27",NA,0.0239271143286604,0,"DHRS3"
"28",NA,NA,Inf,"EPHA2"
"29",0.498488396430941,0,1,"EPHA2"
"30",NA,0.0239271143286604,0,"EPHA2"
"31",NA,NA,Inf,"PADI2"
"32",0.493538629473524,0.00143988480921526,1,"PADI2"
"33",NA,0.0239271143286604,0,"PADI2"
"34",NA,NA,Inf,"ARHGEF10L"
"35",0.492401540585217,0,1,"ARHGEF10L"
"36",NA,0.0239271143286604,0,"ARHGEF10L"
"37",NA,NA,Inf,"UBXN10"
"38",0.49629815632198,0.00114090131203651,1,"UBXN10"
"39",NA,0.0239271143286604,0,"UBXN10"
"40",NA,NA,Inf,"RAP1GAP"
"41",0.493159227211727,0.000718907260963336,1,"RAP1GAP"
"42",NA,0.0239271143286604,0,"RAP1GAP"
"43",NA,NA,Inf,"C1QA"
"44",0.496113427298672,0,1,"C1QA"
"45",NA,0.0239271143286604,0,"C1QA"
"46",NA,NA,Inf,"TCEA3"
"47",0.494344146691856,0.00290486564996369,1,"TCEA3"
"48",NA,0.0239271143286604,0,"TCEA3"
"49",NA,NA,Inf,"CNR2"
"50",0.508402296833869,0.027027027027027,1,"CNR2"
"51",NA,0.0239271143286604,0,"CNR2"
"52",NA,NA,Inf,"IFNLR1"
"53",0.498734160782372,0.00274914089347079,1,"IFNLR1"
"54",NA,0.0239271143286604,0,"IFNLR1"
"55",NA,NA,Inf,"RHD"
"56",0.491382298452633,0.000553250345781466,1,"RHD"
"57",NA,0.0239271143286604,0,"RHD"
"58",NA,NA,Inf,"ZNF683"
"59",0.521705890003799,0.0544399821508255,1,"ZNF683"
"60",NA,0.0239271143286604,0,"ZNF683"
"61",NA,NA,Inf,"FGR"
"62",0.554434203432131,0.0762313783384781,1,"FGR"
"63",NA,0.0239271143286604,0,"FGR"
"64",NA,NA,Inf,"BMP8B"
"65",0.497567331920734,0.00508388408744281,1,"BMP8B"
"66",NA,0.0239271143286604,0,"BMP8B"
"67",NA,NA,Inf,"OXCT2"
"68",0.499769079722751,0.00416956219596942,1,"OXCT2"
"69",NA,0.0239271143286604,0,"OXCT2"
"70",NA,NA,Inf,"MYCL"
"71",0.4943679867273,0,1,"MYCL"
"72",NA,0.0239271143286604,0,"MYCL"
"73",NA,NA,Inf,"ARTN"
"74",0.487409393841463,0,1,"ARTN"
"75",NA,0.0239271143286604,0,"ARTN"
"76",NA,NA,Inf,"SLC6A9"
"77",0.49426705415782,0.00159872102318145,1,"SLC6A9"
"78",NA,0.0239271143286604,0,"SLC6A9"
"79",NA,NA,Inf,"SHISAL2A"
"80",0.504859778820348,0.0256739409499358,1,"SHISAL2A"
"81",NA,0.0239271143286604,0,"SHISAL2A"
"82",NA,NA,Inf,"LINC02812"
"83",0.495795188732833,0.00106439595529537,1,"LINC02812"
"84",NA,0.0239271143286604,0,"LINC02812"
"85",NA,NA,Inf,"ROR1"
"86",0.494621368597931,0.000896458987001345,1,"ROR1"
"87",NA,0.0239271143286604,0,"ROR1"
"88",NA,NA,Inf,"AL513493.1"
"89",0.49805620317924,0,1,"AL513493.1"
"90",NA,0.0239271143286604,0,"AL513493.1"
"91",NA,NA,Inf,"NEXN"
"92",0.491490571272947,0.00350416119141481,1,"NEXN"
"93",NA,0.0239271143286604,0,"NEXN"
"94",NA,NA,Inf,"TGFBR3"
"95",0.651476291295307,0.309558823529412,1,"TGFBR3"
"96",NA,0.0239271143286604,0,"TGFBR3"
"97",NA,NA,Inf,"DIPK1A"
"98",0.505671973802158,0.0247098464994384,1,"DIPK1A"
"99",NA,0.0239271143286604,0,"DIPK1A"
"100",NA,NA,Inf,"SLC44A3"
"101",0.495200413889235,0,1,"SLC44A3"
"102",NA,0.0239271143286604,0,"SLC44A3"
"103",NA,NA,Inf,"TLCD4"
"104",0.490363831402236,0,1,"TLCD4"
"105",NA,0.0239271143286604,0,"TLCD4"
"106",NA,NA,Inf,"S1PR1"
"107",0.527133497478394,0.0608525870484868,1,"S1PR1"
"108",NA,0.0239271143286604,0,"S1PR1"
"109",NA,NA,Inf,"CHI3L2"
"110",0.509560891328912,0.0288127173373075,1,"CHI3L2"
"111",NA,0.0239271143286604,0,"CHI3L2"
"112",NA,NA,Inf,"PPM1J"
"113",0.496642052327048,0.00220872446162341,1,"PPM1J"
"114",NA,0.0239271143286604,0,"PPM1J"
"115",NA,NA,Inf,"CD2"
"116",0.525268896982935,0.0574891236793039,1,"CD2"
"117",NA,0.0239271143286604,0,"CD2"
"118",NA,NA,Inf,"CD101"
"119",0.495513761244026,0.00102249488752556,1,"CD101"
"120",NA,0.0239271143286604,0,"CD101"
"121",NA,NA,Inf,"FCGR1B"
"122",0.491516499711307,0.000564015792442188,1,"FCGR1B"
"123",NA,0.0239271143286604,0,"FCGR1B"
"124",NA,NA,Inf,"FAM72B"
"125",0.493473843832242,0.0014265335235378,1,"FAM72B"
"126",NA,0.0239271143286604,0,"FAM72B"
"127",NA,NA,Inf,"CD160"
"128",0.680310117726316,0.367548184670551,1,"CD160"
"129",NA,0.0239271143286604,0,"CD160"
"130",NA,NA,Inf,"FCGR1A"
"131",0.482125482241442,0.000906947215672048,1,"FCGR1A"
"132",NA,0.0239271143286604,0,"FCGR1A"
"133",NA,NA,Inf,"MTMR11"
"134",0.490154414270019,0.00130548302872063,1,"MTMR11"
"135",NA,0.0239271143286604,0,"MTMR11"
"136",NA,NA,Inf,"OTUD7B"
"137",0.50488276097731,0.0239479986315429,1,"OTUD7B"
"138",NA,0.0239271143286604,0,"OTUD7B"
"139",NA,NA,Inf,"ECM1"
"140",0.488677426514852,0.00229696472518458,1,"ECM1"
"141",NA,0.0239271143286604,0,"ECM1"
"142",NA,NA,Inf,"HORMAD1"
"143",0.493189100115225,0,1,"HORMAD1"
"144",NA,0.0239271143286604,0,"HORMAD1"
"145",NA,NA,Inf,"SELENBP1"
"146",0.468257113895147,0.000832576445655465,1,"SELENBP1"
"147",NA,0.0239271143286604,0,"SELENBP1"
"148",NA,NA,Inf,"S100A16"
