"","normalized_mcc","f1","thresholds","Factor"
"1",NA,NA,Inf,"HES4"
"2",0.493241551824428,0.0151147472786522,1,"HES4"
"3",NA,0.241578861167222,0,"HES4"
"4",NA,NA,Inf,"TNFRSF18"
"5",0.474858385162009,0.0165570976381787,1,"TNFRSF18"
"6",NA,0.241578861167222,0,"TNFRSF18"
"7",NA,NA,Inf,"TNFRSF4"
"8",0.478265107013068,0.037633214920071,1,"TNFRSF4"
"9",NA,0.241578861167222,0,"TNFRSF4"
"10",NA,NA,Inf,"MMP23B"
"11",0.5222134817944,0.0572725452239503,1,"MMP23B"
"12",NA,0.241578861167222,0,"MMP23B"
"13",NA,NA,Inf,"AL139246.5"
"14",0.49803614317108,0.0693288962839712,1,"AL139246.5"
"15",NA,0.241578861167222,0,"AL139246.5"
"16",NA,NA,Inf,"ESPN"
"17",0.487600011853535,0.00441941692208996,1,"ESPN"
"18",NA,0.241578861167222,0,"ESPN"
"19",NA,NA,Inf,"RBP7"
"20",0.476928965124327,0.0169344870210136,1,"RBP7"
"21",NA,0.241578861167222,0,"RBP7"
"22",NA,NA,Inf,"TNFRSF8"
"23",0.492829417862814,0.00634645896437329,1,"TNFRSF8"
"24",NA,0.241578861167222,0,"TNFRSF8"
"25",NA,NA,Inf,"DHRS3"
"26",0.508543732266961,0.091846095731477,1,"DHRS3"
"27",NA,0.241578861167222,0,"DHRS3"
"28",NA,NA,Inf,"EPHA2"
"29",0.49510196690475,0.000149846407432382,1,"EPHA2"
"30",NA,0.241578861167222,0,"EPHA2"
"31",NA,NA,Inf,"PADI2"
"32",0.506942788013833,0.0376268225492172,1,"PADI2"
"33",NA,0.241578861167222,0,"PADI2"
"34",NA,NA,Inf,"ARHGEF10L"
"35",0.521810746052764,0.0585579604302217,1,"ARHGEF10L"
"36",NA,0.241578861167222,0,"ARHGEF10L"
"37",NA,NA,Inf,"UBXN10"
"38",0.490858925733979,0.00476259200461827,1,"UBXN10"
"39",NA,0.241578861167222,0,"UBXN10"
"40",NA,NA,Inf,"RAP1GAP"
"41",0.485275854648102,0.0128971585947471,1,"RAP1GAP"
"42",NA,0.241578861167222,0,"RAP1GAP"
"43",NA,NA,Inf,"C1QA"
"44",0.499113620737237,0.00887337260891701,1,"C1QA"
"45",NA,0.241578861167222,0,"C1QA"
"46",NA,NA,Inf,"TCEA3"
"47",0.485722203506697,0.0130560603001548,1,"TCEA3"
"48",NA,0.241578861167222,0,"TCEA3"
"49",NA,NA,Inf,"CNR2"
"50",0.494072802381782,0.012132327008535,1,"CNR2"
"51",NA,0.241578861167222,0,"CNR2"
"52",NA,NA,Inf,"IFNLR1"
"53",0.491364594051204,0.00117994100294985,1,"IFNLR1"
"54",NA,0.241578861167222,0,"IFNLR1"
"55",NA,NA,Inf,"RHD"
"56",0.471869657780465,0.00534351145038168,1,"RHD"
"57",NA,0.241578861167222,0,"RHD"
"58",NA,NA,Inf,"ZNF683"
"59",0.488781545447547,0.0096194061062317,1,"ZNF683"
"60",NA,0.241578861167222,0,"ZNF683"
"61",NA,NA,Inf,"FGR"
"62",0.513536447613594,0.162994779131336,1,"FGR"
"63",NA,0.241578861167222,0,"FGR"
"64",NA,NA,Inf,"BMP8B"
"65",0.52102427125403,0.0335417851051734,1,"BMP8B"
"66",NA,0.241578861167222,0,"BMP8B"
"67",NA,NA,Inf,"OXCT2"
"68",0.505718095472448,0.00841701122268163,1,"OXCT2"
"69",NA,0.241578861167222,0,"OXCT2"
"70",NA,NA,Inf,"MYCL"
"71",0.498058023355775,0.0172450052576236,1,"MYCL"
"72",NA,0.241578861167222,0,"MYCL"
"73",NA,NA,Inf,"ARTN"
"74",0.545734944796822,0.145440426003994,1,"ARTN"
"75",NA,0.241578861167222,0,"ARTN"
"76",NA,NA,Inf,"SLC6A9"
"77",0.48208129606604,0.00602450879715205,1,"SLC6A9"
"78",NA,0.241578861167222,0,"SLC6A9"
"79",NA,NA,Inf,"SHISAL2A"
"80",0.503870567993699,0.052125,1,"SHISAL2A"
"81",NA,0.241578861167222,0,"SHISAL2A"
"82",NA,NA,Inf,"LINC02812"
"83",0.487776031120312,0.0040045766590389,1,"LINC02812"
"84",NA,0.241578861167222,0,"LINC02812"
"85",NA,NA,Inf,"ROR1"
"86",0.554700707787557,0.0732421875,1,"ROR1"
"87",NA,0.241578861167222,0,"ROR1"
"88",NA,NA,Inf,"AL513493.1"
"89",0.494707522496046,0.000597282365238166,1,"AL513493.1"
"90",NA,0.241578861167222,0,"AL513493.1"
"91",NA,NA,Inf,"NEXN"
"92",0.50966813102725,0.0701817527442865,1,"NEXN"
"93",NA,0.241578861167222,0,"NEXN"
"94",NA,NA,Inf,"TGFBR3"
"95",0.478231420136954,0.00418212478920742,1,"TGFBR3"
"96",NA,0.241578861167222,0,"TGFBR3"
"97",NA,NA,Inf,"DIPK1A"
"98",0.49499053994311,0.0223335138061722,1,"DIPK1A"
"99",NA,0.241578861167222,0,"DIPK1A"
"100",NA,NA,Inf,"SLC44A3"
"101",0.494750685270944,0.00985995998856816,1,"SLC44A3"
"102",NA,0.241578861167222,0,"SLC44A3"
"103",NA,NA,Inf,"TLCD4"
"104",0.469000905890368,0.0052118880684991,1,"TLCD4"
"105",NA,0.241578861167222,0,"TLCD4"
"106",NA,NA,Inf,"S1PR1"
"107",0.460646821253964,0.011506218837324,1,"S1PR1"
"108",NA,0.241578861167222,0,"S1PR1"
"109",NA,NA,Inf,"CHI3L2"
"110",0.486452690969045,0.00453322000283326,1,"CHI3L2"
"111",NA,0.241578861167222,0,"CHI3L2"
"112",NA,NA,Inf,"PPM1J"
"113",0.488878377693567,0.00402414486921529,1,"PPM1J"
"114",NA,0.241578861167222,0,"PPM1J"
"115",NA,NA,Inf,"CD2"
"116",0.463748340599478,0.0189849522679467,1,"CD2"
"117",NA,0.241578861167222,0,"CD2"
"118",NA,NA,Inf,"CD101"
"119",0.494480409192861,0.0106678045658204,1,"CD101"
"120",NA,0.241578861167222,0,"CD101"
"121",NA,NA,Inf,"FCGR1B"
"122",0.519176112541815,0.0669605775988755,1,"FCGR1B"
"123",NA,0.241578861167222,0,"FCGR1B"
"124",NA,NA,Inf,"FAM72B"
"125",0.486536795296903,0.014622040378295,1,"FAM72B"
"126",NA,0.241578861167222,0,"FAM72B"
"127",NA,NA,Inf,"CD160"
"128",0.484744611731316,0.00558035714285714,1,"CD160"
"129",NA,0.241578861167222,0,"CD160"
"130",NA,NA,Inf,"FCGR1A"
"131",0.554083027291981,0.211231680428862,1,"FCGR1A"
"132",NA,0.241578861167222,0,"FCGR1A"
"133",NA,NA,Inf,"MTMR11"
"134",0.518233170372462,0.0832285491886713,1,"MTMR11"
"135",NA,0.241578861167222,0,"MTMR11"
"136",NA,NA,Inf,"OTUD7B"
"137",0.517250067264529,0.0524354538195369,1,"OTUD7B"
"138",NA,0.241578861167222,0,"OTUD7B"
"139",NA,NA,Inf,"ECM1"
"140",0.506108863891765,0.0841758241758242,1,"ECM1"
"141",NA,0.241578861167222,0,"ECM1"
"142",NA,NA,Inf,"HORMAD1"
"143",0.523070500076323,0.0521880945909214,1,"HORMAD1"
"144",NA,0.241578861167222,0,"HORMAD1"
"145",NA,NA,Inf,"SELENBP1"
"146",0.578975441619215,0.299929922915207,1,"SELENBP1"
"147",NA,0.241578861167222,0,"SELENBP1"
"148",NA,NA,Inf,"S100A16"
"149",0.506959824494253,0.0897836150285284,1,"S100A16"
"150",NA,0.241578861167222,0,"S100A16"
"151",NA,NA,Inf,"S100A1"
"152",0.495299799169915,0.0322894378525579,1,"S100A1"
"153",NA,0.241578861167222,0,"S100A1"
"154",NA,NA,Inf,"KCNN3"
"155",0.496666299580326,0.000897598922881293,1,"KCNN3"
"156",NA,0.241578861167222,0,"KCNN3"
"157",NA,NA,Inf,"PKLR"
"158",0.480110519869181,0.00410312521370444,1,"PKLR"
"159",NA,0.241578861167222,0,"PKLR"
"160",NA,NA,Inf,"BGLAP"
"161",0.504920659655968,0.0768927222504087,1,"BGLAP"
"162",NA,0.241578861167222,0,"BGLAP"
"163",NA,NA,Inf,"NTRK1"
"164",0.554024496930154,0.134743674499669,1,"NTRK1"
"165",NA,0.241578861167222,0,"NTRK1"
"166",NA,NA,Inf,"LINC02772"
"167",0.488570044291322,0.0138964577656676,1,"LINC02772"
"168",NA,0.241578861167222,0,"LINC02772"
"169",NA,NA,Inf,"FCRL5"
"170",0.487187505704913,0.00130491518051327,1,"FCRL5"
"171",NA,0.241578861167222,0,"FCRL5"
