"","normalized_mcc","f1","thresholds","Factor"
"1",NA,NA,Inf,"HES4"
"2",0.500313478240031,0.00651890482398957,1,"HES4"
"3",NA,0.0079576963912053,0,"HES4"
"4",NA,NA,Inf,"TNFRSF18"
"5",0.495569512260362,0.00169539417914665,1,"TNFRSF18"
"6",NA,0.0079576963912053,0,"TNFRSF18"
"7",NA,NA,Inf,"TNFRSF4"
"8",0.493187050348112,0.000390091671542813,1,"TNFRSF4"
"9",NA,0.0079576963912053,0,"TNFRSF4"
"10",NA,NA,Inf,"MMP23B"
"11",0.518802467774656,0.0353728489483748,1,"MMP23B"
"12",NA,0.0079576963912053,0,"MMP23B"
"13",NA,NA,Inf,"AL139246.5"
"14",0.499243391627579,0.0066134993191986,1,"AL139246.5"
"15",NA,0.0079576963912053,0,"AL139246.5"
"16",NA,NA,Inf,"ESPN"
"17",0.497191844793691,0,1,"ESPN"
"18",NA,0.0079576963912053,0,"ESPN"
"19",NA,NA,Inf,"RBP7"
"20",0.496827103952801,0.00303859009419629,1,"RBP7"
"21",NA,0.0079576963912053,0,"RBP7"
"22",NA,NA,Inf,"TNFRSF8"
"23",0.499620280961391,0.00409416581371546,1,"TNFRSF8"
"24",NA,0.0079576963912053,0,"TNFRSF8"
"25",NA,NA,Inf,"DHRS3"
"26",0.494213921922675,0.00177242112725984,1,"DHRS3"
"27",NA,0.0079576963912053,0,"DHRS3"
"28",NA,NA,Inf,"EPHA2"
"29",0.634421558274723,0.196506550218341,1,"EPHA2"
"30",NA,0.0079576963912053,0,"EPHA2"
"31",NA,NA,Inf,"PADI2"
"32",0.495880719294445,0,1,"PADI2"
"33",NA,0.0079576963912053,0,"PADI2"
"34",NA,NA,Inf,"ARHGEF10L"
"35",0.496871169880276,0.00184077312471238,1,"ARHGEF10L"
"36",NA,0.0079576963912053,0,"ARHGEF10L"
"37",NA,NA,Inf,"UBXN10"
"38",0.497532922735434,0,1,"UBXN10"
"39",NA,0.0079576963912053,0,"UBXN10"
"40",NA,NA,Inf,"RAP1GAP"
"41",0.495875512178396,0,1,"RAP1GAP"
"42",NA,0.0079576963912053,0,"RAP1GAP"
"43",NA,NA,Inf,"C1QA"
"44",0.497776734419024,0,1,"C1QA"
"45",NA,0.0079576963912053,0,"C1QA"
"46",NA,NA,Inf,"TCEA3"
"47",0.495912091995641,0,1,"TCEA3"
"48",NA,0.0079576963912053,0,"TCEA3"
"49",NA,NA,Inf,"CNR2"
"50",0.502044561294777,0.0093167701863354,1,"CNR2"
