col,proliferation_mean,proliferation_z
LS_1,0.08700468,-0.31904793
LS_10,0.9693304,3.1637657
LS_11,0.047924116,-0.47331107
LS_12,0.048279837,-0.47190693
LS_13,0.2013233,0.13220322
LS_14,0.07436262,-0.36895007
LS_15,0.17135914,0.013925344
LS_16,0.015393804,-0.6017183
LS_17,0.07815342,-0.35398662
LS_18,0.047339834,-0.4756174
LS_19,0.09130861,-0.30205896
LS_2,0.09066982,-0.30458048
LS_20,0.5169048,1.3779014
LS_21,0.057231408,-0.43657228
LS_22,0.04315263,-0.4921456
LS_23,0.1281472,-0.15664561
LS_24,0.051112313,-0.46072626
LS_25,0.06919197,-0.38936022
LS_26,0.04685188,-0.4775435
LS_27,0.14442763,-0.09238169
LS_28,0.112500615,-0.21840754
LS_29,0.06414384,-0.40928677
LS_3,0.4594788,1.1512232
LS_30,0.091539234,-0.30114862
LS_31,0.2785188,0.43691784
LS_32,0.045927823,-0.48119104
LS_33,0.061928015,-0.4180333
LS_34,0.034836557,-0.5249717
LS_35,0.011301324,-0.6178726
LS_36,0.10823844,-0.23523168
LS_37,0.0752598,-0.36540863
LS_38,0.07095781,-0.3823899
LS_39,1.3168471,4.5355225
LS_4,0.05283066,-0.4539434
LS_40,0.10435586,-0.25055742
LS_41,0.055842657,-0.44205412
LS_42,0.730059,2.2192876
LS_43,0.14245048,-0.1001861
LS_44,0.06958361,-0.3878143
LS_45,0.11060315,-0.22589742
LS_46,0.11035582,-0.22687373
LS_47,0.058860376,-0.43014222
LS_48,0.03045708,-0.54225886
LS_49,0.051949132,-0.4574231
LS_5,0.05248735,-0.45529854
LS_6,0.0436263,-0.49027586
LS_7,0.03248006,-0.53427356
LS_8,0.04228495,-0.4955706
LS_9,0.035389766,-0.52278805
NORM_B,0.2722093,0.41201225
NORM_DC,0.1713269,0.013798118
NORM_Erythroid,0.8700585,2.7719088
NORM_HSPC,0.24288869,0.29627472
NORM_Macrophage,0.0598556,-0.4262138
NORM_Monocyte,0.024080466,-0.56742936
NORM_MyeloidPro,0.45885938,1.1487782
NORM_T_NK,0.032543607,-0.53402275
