,Regulon
0,TFCP2L1_(+)
1,FOXJ2_(+)
2,WT1_(+)
3,ZNF559_(+)
4,CREB3L2_(+)
5,RFX3_(+)
6,STAT5A_(+)
7,MECOM_(+)
8,ZBTB47_(+)
9,PAX5_(+)
10,GATA5_(+)
11,PBX3_(+)
12,TFEB_(+)
13,NFATC1_(+)
14,UNCX_(+)
15,TBX6_(+)
16,ERG_(+)
17,ESRRA_(+)
18,HOXA5_(+)
19,KLF9_(+)
20,RFX2_(+)
21,SMAD3_(+)
22,HOXB6_(+)
23,LBX1_(+)
24,RORC_(+)
25,ATOH1_(+)
26,EGR2_(+)
27,ZFHX2_(+)
28,ASCL2_(+)
29,MEF2C_(+)
30,TEAD4_(+)
31,ATF5_(+)
32,RUNX1_(+)
33,DLX4_(+)
34,ZSCAN16_(+)
35,FOXO6_(+)
36,BHLHE41_(+)
37,GSC_(+)
38,VEZF1_(+)
39,E2F2_(+)
40,FOXP3_(+)
41,MYC_(+)
42,ETV4_(+)
43,POLR3G_(+)
44,NR1H3_(+)
45,LEF1_(+)
46,SREBF1_(+)
47,EGR3_(+)
48,BACH1_(+)
49,ZNF513_(+)
50,ELF2_(+)
51,FOXP2_(+)
52,KLF16_(+)
53,MZF1_(+)
54,CEBPG_(+)
55,OLIG2_(+)
56,MAFB_(+)
57,TBX21_(+)
58,TCF12_(+)
59,FOXO4_(+)
60,TCF3_(+)
61,TBPL1_(+)
62,MAFA_(+)
63,SOX5_(+)
64,PPARD_(+)
65,BATF_(+)
66,E2F6_(+)
67,RFX5_(+)
68,IRF9_(+)
69,BACH2_(+)
70,ZNF784_(+)
71,MAFF_(+)
72,ELK4_(+)
73,GRHPR_(+)
74,ETV7_(+)
75,OVOL1_(+)
76,TFDP2_(+)
77,IKZF2_(+)
78,E2F8_(+)
79,HOXB7_(+)
80,POU2AF1_(+)
81,HES5_(+)
82,ZNF354B_(+)
83,ZEB1_(+)
84,BDP1_(+)
85,FOXA2_(+)
86,CREB3_(+)
87,IRF4_(+)
88,ZNF189_(+)
89,HMBOX1_(+)
90,HOXB8_(+)
91,CEBPZ_(+)
92,MAF_(+)
93,REST_(+)
94,ATF4_(+)
95,TAL1_(+)
96,FOXD4_(+)
97,HMX3_(+)
98,BCL3_(+)
99,ETV5_(+)
100,KLF11_(+)
101,GABPA_(+)
102,HLF_(+)
103,E2F3_(+)
104,HOXA10_(+)
105,RORA_(+)
106,MYBL2_(+)
107,RIOK2_(+)
108,EGR4_(+)
109,BRF2_(+)
110,NR5A2_(+)
111,STAT1_(+)
112,OSR2_(+)
113,SHOX2_(+)
114,MSX2_(+)
115,MYF6_(+)
116,TFE3_(+)
117,DMRTA1_(+)
118,RARG_(+)
119,RBBP5_(+)
120,TP73_(+)
121,IRF5_(+)
122,RFX7_(+)
123,TWIST1_(+)
124,HOXA6_(+)
125,EBF1_(+)
126,FOXN2_(+)
127,STAT4_(+)
128,THRB_(+)
129,HOXA11_(+)
130,HOXA2_(+)
131,HOXA1_(+)
132,DDIT3_(+)
133,PITX1_(+)
134,ZNF274_(+)
135,HOXA13_(+)
136,GATA3_(+)
137,TCF7_(+)
138,RUNX2_(+)
139,BCL11A_(+)
140,HOXB9_(+)
141,PRDM16_(+)
142,HOXA4_(+)
143,ZNF384_(+)
144,MYB_(+)
145,KLF8_(+)
146,RXRA_(+)
147,KLF7_(+)
148,TGIF2_(+)
149,ZNF91_(+)
150,ESRRG_(+)
151,ELK3_(+)
152,TFAP4_(+)
153,HMGB1_(+)
154,SOX13_(+)
155,BRF1_(+)
156,POLE3_(+)
157,KLF3_(+)
158,PPARGC1A_(+)
159,SF1_(+)
160,CREM_(+)
161,RELA_(+)
162,CREB3L1_(+)
163,ZFX_(+)
164,ATF6B_(+)
165,ZNF695_(+)
166,GATA1_(+)
167,ATF6_(+)
168,MAX_(+)
169,CTCF_(+)
170,ZNF460_(+)
171,SP4_(+)
172,LHX6_(+)
173,ELK1_(+)
174,OLIG1_(+)
175,POU5F1_(+)
176,EOMES_(+)
177,UBTF_(+)
178,HOXA7_(+)
179,LHX9_(+)
180,HOXC10_(+)
181,HOXA9_(+)
182,PPARG_(+)
