,Regulon
0,SMAD3_(+)
1,FOXP3_(+)
2,RUNX2_(+)
3,HOXA7_(+)
4,ZBTB47_(+)
5,ESRRA_(+)
6,FOXA2_(+)
7,SHOX2_(+)
8,ATF5_(+)
9,RBBP5_(+)
10,ZFHX2_(+)
11,PPARG_(+)
12,KLF9_(+)
13,CEBPZ_(+)
14,PRDM16_(+)
15,HOXC10_(+)
16,MAFA_(+)
17,PPARGC1A_(+)
18,GATA3_(+)
19,ZSCAN16_(+)
20,HMBOX1_(+)
21,OLIG1_(+)
22,HOXA2_(+)
23,ZNF784_(+)
24,HES5_(+)
25,LBX1_(+)
26,BHLHE41_(+)
27,ZFX_(+)
28,ETV1_(+)
29,MECOM_(+)
30,FOXD4_(+)
31,ASCL2_(+)
32,MAX_(+)
33,TEAD4_(+)
34,OLIG2_(+)
35,CREM_(+)
36,HOXA11_(+)
37,EGR2_(+)
38,LHX9_(+)
39,OSR2_(+)
40,ELK1_(+)
41,FOXN2_(+)
42,FOXL2_(+)
43,TCF3_(+)
44,ZNF354B_(+)
45,CREB3_(+)
46,SOX13_(+)
47,MAF_(+)
48,HOXA6_(+)
49,KLF16_(+)
50,GATA5_(+)
51,UNCX_(+)
52,TCF7_(+)
53,HLF_(+)
54,RXRA_(+)
55,MYF6_(+)
56,ETV5_(+)
57,RORA_(+)
58,NR1H3_(+)
59,IKZF2_(+)
60,ZNF189_(+)
61,AHR_(+)
62,LHX6_(+)
63,HOXA10_(+)
64,ESRRG_(+)
65,HOXA13_(+)
66,THRB_(+)
67,FOXJ2_(+)
68,EGR4_(+)
